name,Solver,time_limit,energy,num_satellites
20_10,Pyomo IPOpt initial state,60,16.220415704109985,20
30_0,Pyomo IPOpt initial state,30,8.187221449098075,30
30_0,Pyomo IPOpt initial state,60,8.187221449112307,30
30_1,Pyomo IPOpt initial state,30,11.149974790217296,30
30_1,Pyomo IPOpt initial state,60,11.149974789860067,30
30_2,Pyomo IPOpt initial state,30,11.053551977213967,30
30_2,Pyomo IPOpt initial state,60,11.053551977300163,30
30_3,Pyomo IPOpt initial state,30,11.640970395792948,30
30_3,Pyomo IPOpt initial state,60,11.640970395785,30
30_4,Pyomo IPOpt initial state,30,9.785851242368414,30
30_4,Pyomo IPOpt initial state,60,9.785851242125302,30
30_5,Pyomo IPOpt initial state,30,11.64205139802004,30
30_5,Pyomo IPOpt initial state,60,11.64205139831686,30
30_6,Pyomo IPOpt initial state,30,11.26150239629299,30
30_6,Pyomo IPOpt initial state,60,11.26150239612193,30
30_7,Pyomo IPOpt initial state,30,12.112027114388209,30
30_7,Pyomo IPOpt initial state,60,12.112027114922062,30
30_8,Pyomo IPOpt initial state,30,10.150395905650472,30
30_8,Pyomo IPOpt initial state,60,10.15039590564992,30
30_9,Pyomo IPOpt initial state,30,11.437926165155888,30
30_9,Pyomo IPOpt initial state,60,11.43792616486034,30
30_10,Pyomo IPOpt initial state,30,11.24333446093996,30
30_10,Pyomo IPOpt initial state,60,11.243334460936511,30
50_0,Pyomo IPOpt initial state,30,6.179517132921905,50
50_0,Pyomo IPOpt initial state,60,6.179517132918073,50
50_1,Pyomo IPOpt initial state,30,6.623355150728844,50
50_1,Pyomo IPOpt initial state,60,6.6233551507279245,50
50_2,Pyomo IPOpt initial state,30,6.620606952931596,50
50_2,Pyomo IPOpt initial state,60,6.620606952930425,50
50_3,Pyomo IPOpt initial state,30,6.014992807965414,50
50_3,Pyomo IPOpt initial state,60,6.014992807965586,50
50_4,Pyomo IPOpt initial state,30,6.647751579124704,50
50_4,Pyomo IPOpt initial state,60,6.6477515791376645,50
50_5,Pyomo IPOpt initial state,30,6.744550401877337,50
50_5,Pyomo IPOpt initial state,60,6.7445504018773015,50
50_6,Pyomo IPOpt initial state,30,6.085551702933365,50
50_6,Pyomo IPOpt initial state,60,6.085551702933365,50
50_7,Pyomo IPOpt initial state,30,6.967100431125255,50
50_7,Pyomo IPOpt initial state,60,6.967100431109359,50
50_8,Pyomo IPOpt initial state,30,6.974610379764619,50
50_8,Pyomo IPOpt initial state,60,6.974610379768567,50
50_9,Pyomo IPOpt initial state,30,6.652030386501792,50
50_9,Pyomo IPOpt initial state,60,6.652030386501944,50
50_10,Pyomo IPOpt initial state,30,6.197584409747869,50
50_10,Pyomo IPOpt initial state,60,6.197584409695548,50
3_0,NL Solver initial state,5,206.0626166253525,3
3_0,NL Solver initial state,30,206.0626166253525,3
3_0,NL Solver initial state,60,206.0626166253525,3
3_1,NL Solver initial state,5,156.3020040219986,3
3_1,NL Solver initial state,30,156.3020040219986,3
3_1,NL Solver initial state,60,156.3020040219986,3
3_2,NL Solver initial state,5,147.8051379748374,3
3_2,NL Solver initial state,30,147.8051379748374,3
3_2,NL Solver initial state,60,147.8051379748374,3
3_3,NL Solver initial state,5,112.227746066608,3
3_3,NL Solver initial state,30,112.227746066608,3
3_3,NL Solver initial state,60,112.227746066608,3
3_4,NL Solver initial state,5,162.59650250407958,3
3_4,NL Solver initial state,30,162.59650250407958,3
3_4,NL Solver initial state,60,162.59650250407958,3
3_5,NL Solver initial state,5,302.0529222260772,3
3_5,NL Solver initial state,30,302.0529222260772,3
3_5,NL Solver initial state,60,302.0529222260772,3
3_6,NL Solver initial state,5,188.8930527810868,3
3_6,NL Solver initial state,30,188.8930527810868,3
3_6,NL Solver initial state,60,188.8930527810868,3
3_7,NL Solver initial state,5,202.83111910341265,3
3_7,NL Solver initial state,30,202.83111910341265,3
3_7,NL Solver initial state,60,202.83111910341265,3
3_8,NL Solver initial state,5,136.39113854747225,3
3_8,NL Solver initial state,30,136.39113854747225,3
3_8,NL Solver initial state,60,136.39113854747225,3
3_9,NL Solver initial state,5,168.14578162299335,3
3_9,NL Solver initial state,30,168.14578162299335,3
3_9,NL Solver initial state,60,168.14578162299335,3
3_10,NL Solver initial state,5,118.39165768632446,3
3_10,NL Solver initial state,30,118.39165768632446,3
3_10,NL Solver initial state,60,118.39165768632446,3
5_0,NL Solver initial state,5,107.85714537159048,5
5_0,NL Solver initial state,30,107.85714537159048,5
5_0,NL Solver initial state,60,107.85714537159048,5
5_1,NL Solver initial state,5,108.61766905634455,5
5_1,NL Solver initial state,30,108.61766905634455,5
5_1,NL Solver initial state,60,108.61766905634455,5
5_2,NL Solver initial state,5,92.46580520990038,5
5_2,NL Solver initial state,30,92.46580520990038,5
5_2,NL Solver initial state,60,92.46580520990038,5
5_3,NL Solver initial state,5,64.7982547189364,5
5_3,NL Solver initial state,30,64.7982547189364,5
5_3,NL Solver initial state,60,64.7982547189364,5
5_4,NL Solver initial state,5,128.20922595443787,5
5_4,NL Solver initial state,30,128.20922595443787,5
5_4,NL Solver initial state,60,128.20922595443787,5
5_5,NL Solver initial state,5,82.78775906746233,5
5_5,NL Solver initial state,30,82.78775906746233,5
5_5,NL Solver initial state,60,82.78775906746233,5
5_6,NL Solver initial state,5,169.9031154498931,5
5_6,NL Solver initial state,30,169.9031154498931,5
5_6,NL Solver initial state,60,169.9031154498931,5
5_7,NL Solver initial state,5,63.99656347593549,5
5_7,NL Solver initial state,30,63.99656347593549,5
5_7,NL Solver initial state,60,63.99656347593549,5
5_8,NL Solver initial state,5,209.3815804219057,5
5_8,NL Solver initial state,30,209.3815804219057,5
5_8,NL Solver initial state,60,209.3815804219057,5
5_9,NL Solver initial state,5,88.68197561983047,5
5_9,NL Solver initial state,30,88.68197561983047,5
5_9,NL Solver initial state,60,88.68197561983047,5
5_10,NL Solver initial state,5,84.16277822668424,5
5_10,NL Solver initial state,30,84.16277822668424,5
5_10,NL Solver initial state,60,84.16277822668424,5
7_0,NL Solver initial state,5,134.54811436541954,7
7_0,NL Solver initial state,30,134.54811436541954,7
7_0,NL Solver initial state,60,134.54811436541954,7
7_1,NL Solver initial state,5,74.98106148349316,7
7_1,NL Solver initial state,30,74.98106148349316,7
7_1,NL Solver initial state,60,74.98106148349316,7
7_2,NL Solver initial state,5,70.46189293038829,7
7_2,NL Solver initial state,30,70.4618929303883,7
7_2,NL Solver initial state,60,70.46189293038829,7
7_3,NL Solver initial state,5,88.81998760963037,7
7_3,NL Solver initial state,30,88.81998760963037,7
7_3,NL Solver initial state,60,88.81998760963037,7
7_4,NL Solver initial state,5,94.79360528319108,7
7_4,NL Solver initial state,30,94.79360528319108,7
7_4,NL Solver initial state,60,94.79360528319108,7
7_5,NL Solver initial state,5,72.57083440606026,7
7_5,NL Solver initial state,30,72.57083440606026,7
7_5,NL Solver initial state,60,72.57083440606026,7
7_6,NL Solver initial state,5,93.5876623203642,7
7_6,NL Solver initial state,30,93.5876623203642,7
7_6,NL Solver initial state,60,93.5876623203642,7
7_7,NL Solver initial state,5,61.46949606666799,7
7_7,NL Solver initial state,30,61.46949606666799,7
7_7,NL Solver initial state,60,61.46949606666799,7
7_8,NL Solver initial state,5,97.34390253844256,7
7_8,NL Solver initial state,30,97.34390253844256,7
7_8,NL Solver initial state,60,97.34390253844256,7
7_9,NL Solver initial state,5,62.07492902335524,7
7_9,NL Solver initial state,30,62.07492902335524,7
7_9,NL Solver initial state,60,62.07492902335524,7
7_10,NL Solver initial state,5,76.7742024552808,7
7_10,NL Solver initial state,30,76.7742024552808,7
7_10,NL Solver initial state,60,76.7742024552808,7
10_0,NL Solver initial state,5,55.86973737634742,10
10_0,NL Solver initial state,30,55.86973737634742,10
10_0,NL Solver initial state,60,55.86973737634742,10
10_1,NL Solver initial state,5,67.97115792813786,10
10_1,NL Solver initial state,30,67.97115792813786,10
10_1,NL Solver initial state,60,67.97115792813786,10
10_2,NL Solver initial state,5,49.14281827007685,10
10_2,NL Solver initial state,30,49.14281827007685,10
10_2,NL Solver initial state,60,49.14281827007685,10
10_3,NL Solver initial state,5,54.1885039943335,10
10_3,NL Solver initial state,30,54.1885039943335,10
10_3,NL Solver initial state,60,54.1885039943335,10
10_4,NL Solver initial state,5,55.35050691586499,10
10_4,NL Solver initial state,30,55.35050691586499,10
10_4,NL Solver initial state,60,55.35050691586499,10
10_5,NL Solver initial state,5,65.60321246419883,10
10_5,NL Solver initial state,30,65.60321246419883,10
10_5,NL Solver initial state,60,65.60321246419883,10
10_6,NL Solver initial state,5,66.3694473913611,10
10_6,NL Solver initial state,30,66.3694473913611,10
10_6,NL Solver initial state,60,66.3694473913611,10
10_7,NL Solver initial state,5,59.12131666311381,10
10_7,NL Solver initial state,30,59.12131666311381,10
10_7,NL Solver initial state,60,59.12131666311381,10
10_8,NL Solver initial state,5,60.09757513950734,10
10_8,NL Solver initial state,30,60.09757513950734,10
10_8,NL Solver initial state,60,60.09757513950734,10
10_9,NL Solver initial state,5,62.57933510818263,10
10_9,NL Solver initial state,30,62.57933510818263,10
10_9,NL Solver initial state,60,62.57933510818263,10
10_10,NL Solver initial state,5,65.35094068481212,10
10_10,NL Solver initial state,30,65.35094068481212,10
10_10,NL Solver initial state,60,65.35094068481212,10
12_0,NL Solver initial state,5,53.092657894951856,12
12_0,NL Solver initial state,30,53.092657894951856,12
12_0,NL Solver initial state,60,53.092657894951856,12
12_1,NL Solver initial state,5,45.298089500341696,12
12_1,NL Solver initial state,30,45.298089500341696,12
12_1,NL Solver initial state,60,45.298089500341696,12
12_2,NL Solver initial state,5,52.97932881936267,12
12_2,NL Solver initial state,30,52.97932881936267,12
12_2,NL Solver initial state,60,52.97932881936267,12
12_3,NL Solver initial state,5,48.676331259981886,12
12_3,NL Solver initial state,30,48.676331259981886,12
12_3,NL Solver initial state,60,48.676331259981886,12
12_4,NL Solver initial state,5,42.43224437413604,12
12_4,NL Solver initial state,30,42.43224437413604,12
12_4,NL Solver initial state,60,42.43224437413604,12
12_5,NL Solver initial state,5,52.89876223623083,12
12_5,NL Solver initial state,30,52.89876223623084,12
12_5,NL Solver initial state,60,52.89876223623084,12
12_6,NL Solver initial state,5,54.43959701872998,12
12_6,NL Solver initial state,30,54.43959701872998,12
12_6,NL Solver initial state,60,54.43959701872998,12
12_7,NL Solver initial state,5,52.15606119375294,12
12_7,NL Solver initial state,30,52.15606119375294,12
12_7,NL Solver initial state,60,52.15606119375294,12
12_8,NL Solver initial state,5,67.38737131384265,12
12_8,NL Solver initial state,30,67.38737131384265,12
12_8,NL Solver initial state,60,67.38737131384265,12
12_9,NL Solver initial state,5,55.16208406709163,12
12_9,NL Solver initial state,30,55.16208406709163,12
12_9,NL Solver initial state,60,55.16208406709163,12
12_10,NL Solver initial state,5,47.12607690949415,12
