name,time_limit,energy,solver
160037322_200_10,15.0,10790.0,NL Solver
551454346_200_10,15.0,10623.0,NL Solver
519485142_200_10,15.0,11073.0,NL Solver
383947510_200_10,15.0,10956.0,NL Solver
1968171878_200_10,15.0,10645.0,NL Solver
540872513_200_10,15.0,10953.0,NL Solver
1539989115_50_20,15.0,3996.0,NL Solver
691823909_50_20,15.0,3855.0,NL Solver
655816003_50_20,15.0,3816.0,NL Solver
1315102446_50_20,15.0,3850.0,NL Solver
1949668355_50_20,15.0,3772.0,NL Solver
1923497586_50_20,15.0,3800.0,NL Solver
1805594913_50_20,15.0,3878.0,NL Solver
1861070898_50_20,15.0,3837.0,NL Solver
715643788_50_20,15.0,3891.0,NL Solver
464843328_50_20,15.0,3904.0,NL Solver
873654221_20_5,15.0,1278.0,NL Solver
379008056_20_5,15.0,1359.0,NL Solver
1866992158_20_5,15.0,1081.0,NL Solver
216771124_20_5,15.0,1293.0,NL Solver
495070989_20_5,15.0,1235.0,NL Solver
402959317_20_5,15.0,1195.0,NL Solver
1369363414_20_5,15.0,1239.0,NL Solver
2021925980_20_5,15.0,1206.0,NL Solver
573109518_20_5,15.0,1230.0,NL Solver
88325120_20_5,15.0,1108.0,NL Solver
896678084_100_5,15.0,5493.0,NL Solver
1179439976_100_5,15.0,5289.0,NL Solver
1122278347_100_5,15.0,5199.0,NL Solver
416756875_100_5,15.0,5025.0,NL Solver
267829958_100_5,15.0,5255.0,NL Solver
1835213917_100_5,15.0,5137.0,NL Solver
1328833962_100_5,15.0,5261.0,NL Solver
1418570761_100_5,15.0,5108.0,NL Solver
161033112_100_5,15.0,5454.0,NL Solver
304212574_100_5,15.0,5335.0,NL Solver
1539989115_100_10,15.0,5891.0,NL Solver
655816003_100_10,15.0,5453.0,NL Solver
960914243_100_10,15.0,5737.0,NL Solver
1915696806_100_10,15.0,5941.0,NL Solver
2013025619_100_10,15.0,5599.0,NL Solver
1168140026_100_10,15.0,5344.0,NL Solver
1923497586_100_10,15.0,5708.0,NL Solver
167698528_100_10,15.0,5702.0,NL Solver
1528387973_100_10,15.0,5958.0,NL Solver
993794175_100_10,15.0,5903.0,NL Solver
2013025619_200_20,15.0,12151.0,NL Solver
475051709_200_20,15.0,12391.0,NL Solver
914834335_200_20,15.0,12315.0,NL Solver
810642687_200_20,15.0,12237.0,NL Solver
1019331795_200_20,15.0,12205.0,NL Solver
2056065863_200_20,15.0,12226.0,NL Solver
1342855162_200_20,15.0,12425.0,NL Solver
1325809384_200_20,15.0,12377.0,NL Solver
1988803007_200_20,15.0,12261.0,NL Solver
765656702_200_20,15.0,12331.0,NL Solver
1328042058_50_5,50.0,2724.0,NL Solver
200382020_50_5,50.0,2838.0,NL Solver
496319842_50_5,50.0,2621.0,NL Solver
1203030903_50_5,50.0,2753.0,NL Solver
1730708564_50_5,50.0,2863.0,NL Solver
450926852_50_5,50.0,2829.0,NL Solver
1303135678_50_5,50.0,2725.0,NL Solver
1273398721_50_5,50.0,2683.0,NL Solver
587288402_50_5,50.0,2552.0,NL Solver
248421594_50_5,50.0,2782.0,NL Solver
1958948863_50_10,50.0,3046.0,NL Solver
575633267_50_10,50.0,2923.0,NL Solver
655816003_50_10,50.0,2877.0,NL Solver
1977864101_50_10,50.0,3071.0,NL Solver
93805469_50_10,50.0,3019.0,NL Solver
1803345551_50_10,50.0,3043.0,NL Solver
49612559_50_10,50.0,3123.0,NL Solver
1899802599_50_10,50.0,3048.0,NL Solver
2013025619_50_10,50.0,2917.0,NL Solver
578962478_50_10,50.0,3115.0,NL Solver
479340445_20_20,50.0,2297.0,NL Solver
268827376_20_20,50.0,2101.0,NL Solver
1958948863_20_20,50.0,2328.0,NL Solver
918272953_20_20,50.0,2229.0,NL Solver
555010963_20_20,50.0,2294.0,NL Solver
2010851491_20_20,50.0,2229.0,NL Solver
1519833303_20_20,50.0,2273.0,NL Solver
1748670931_20_20,50.0,2200.0,NL Solver
1923497586_20_20,50.0,2240.0,NL Solver
1829909967_20_20,50.0,2181.0,NL Solver
450926852_100_20,50.0,6479.0,NL Solver
1462772409_100_20,50.0,6456.0,NL Solver
1021685265_100_20,50.0,6533.0,NL Solver
83696007_100_20,50.0,6532.0,NL Solver
508154254_100_20,50.0,6626.0,NL Solver
1861070898_100_20,50.0,6662.0,NL Solver
26482542_100_20,50.0,6569.0,NL Solver
444956424_100_20,50.0,6751.0,NL Solver
2115448041_100_20,50.0,6581.0,NL Solver
118254244_100_20,50.0,6700.0,NL Solver
1368624604_500_20,50.0,27987.0,NL Solver
450181436_500_20,50.0,28307.0,NL Solver
1927888393_500_20,50.0,28153.0,NL Solver
1759567256_500_20,50.0,28170.0,NL Solver
606425239_500_20,50.0,28010.0,NL Solver
19268348_500_20,50.0,28213.0,NL Solver
1298201670_500_20,50.0,28011.0,NL Solver
2041736264_500_20,50.0,28306.0,NL Solver
379756761_500_20,50.0,27894.0,NL Solver
28837162_500_20,50.0,28079.0,NL Solver
587595453_20_10,50.0,1583.0,NL Solver
1401007982_20_10,50.0,1660.0,NL Solver
